feature,idx,accuracy_without,importance,std,min,max
mfcc2_mean,1,0.9595294257449274,0.003412554588396066,0.005435167987923841,0.9536585365853658,0.9695493300852619
mfcc10_mean,9,0.9607483437806362,0.002193636552687228,0.006154140747176761,0.9512195121951219,0.9695493300852619
mfcc13_mean,12,0.9607483437806362,0.002193636552687228,0.006482861892116005,0.9512195121951219,0.9707673568818515
mfcc12_mean,11,0.9612349603398591,0.0017070199934643426,0.006800726397480584,0.9524390243902439,0.9719853836784409
mfcc11_mean,10,0.961480348177416,0.001461632155907444,0.006670012663777032,0.9524390243902439,0.9695493300852619
spectral_rolloff_mean,32,0.9617224681382016,0.0012195121951218413,0.008123005243365473,0.9512195121951219,0.97442143727162
zcr_std,29,0.961722765217908,0.0012192151154154507,0.007553248236501147,0.9512195121951219,0.9732034104750305
mfcc4_mean,3,0.9617233593773209,0.0012186209560025585,0.006628185044429493,0.9524390243902439,0.9719853836784409
spectral_centroid_mean,30,0.9619663705772258,0.0009756097560976729,0.007545434822227429,0.9524390243902439,0.97442143727162
mfcc7_mean,6,0.9619666676569324,0.0009753126763910602,0.008003977412122647,0.9512195121951219,0.9732034104750305
mfcc7_std,19,0.9619669647366388,0.0009750155966846696,0.008149057158075951,0.9512195121951219,0.97442143727162
rms_std,27,0.961966964736639,0.0009750155966844476,0.007261184519093164,0.9548780487804878,0.97442143727162
mfcc6_mean,5,0.9619675588960519,0.0009744214372715554,0.005752102693373784,0.9536585365853658,0.9707673568818515
mfcc5_std,17,0.9622105700959567,0.0007314102373667808,0.007684143320681263,0.9524390243902439,0.97442143727162
rms_mean,26,0.9622108671756632,0.0007311131576602792,0.007037813268134726,0.9536585365853658,0.9719853836784409
mfcc5_mean,4,0.9622117584147827,0.0007302219185407743,0.007603476742098404,0.95,0.9707317073170731
mfcc9_std,21,0.9624541754552747,0.0004878048780487809,0.007700541612127347,0.9524390243902439,0.97442143727162
mfcc8_mean,7,0.9624550666943941,0.0004869136389293871,0.007579165511555915,0.9524390243902439,0.97442143727162
mfcc12_std,24,0.962698077894299,0.00024390243902450148,0.0075123569649010275,0.9524390243902439,0.97442143727162
mfcc3_mean,2,0.9626989691334185,0.00024301119990499664,0.006397430338676463,0.9536585365853658,0.9719853836784409
mfcc8_std,20,0.9629416832536168,2.9707970661263516e-07,0.007669114930275711,0.9524390243902439,0.9756394640682094
mfcc1_mean,0,0.9629419803333235,0.0,0.006673981026804704,0.9524390243902439,0.9732034104750305
mfcc3_std,15,0.9629422774130297,-2.9707970627956826e-07,0.007309688225503139,0.9536585365853658,0.97442143727162
zcr_mean,28,0.962942871572443,-8.912391195048386e-07,0.006670736947060371,0.9536585365853658,0.9707673568818515
mfcc1_std,13,0.9631858827723478,-0.00024390243902439046,0.008294233707326034,0.9512195121951219,0.97442143727162
spectral_rolloff_std,33,0.9631867740114674,-0.0002447936781438953,0.007379822794274792,0.9524390243902439,0.9732034104750305
mfcc10_std,22,0.9634294881316656,-0.0004875077983421683,0.007528772962251399,0.9524390243902439,0.9732034104750305
mfcc9_mean,8,0.9634300822910786,-0.0004881019577551715,0.006416766695383736,0.9548780487804878,0.9732034104750305
mfcc6_std,18,0.963673984730103,-0.000732004396779562,0.007999866878306451,0.9524390243902439,0.97442143727162
mfcc2_std,14,0.9636739847301031,-0.000732004396779673,0.005752136540637984,0.9560975609756097,0.9719853836784409
spectral_centroid_std,31,0.9639178871691275,-0.0009759068358040635,0.006254932716642885,0.9573170731707317,0.97442143727162
mfcc13_std,25,0.9641611954487388,-0.0012192151154153397,0.006803420509659082,0.9548780487804878,0.9756394640682094
mfcc4_std,16,0.9644050978877633,-0.0014631175544398412,0.006968716995508626,0.9536585365853658,0.9732034104750305
mfcc11_std,23,0.9646484061673746,-0.0017064258340511174,0.007799307693600036,0.9536585365853658,0.9756394640682094
